Bairro,Azulejo-Imagem,Azulejo-Código,Procedência,Unnamed: 3,Dimensão-Formato,"Material, Técnica de Fabricação e Decorativa",Endereço,Uso-Aplicação,Altura,Largura,latitude,longitude
Umarizal,,CI  2-1-1,,,"10,9 x 10,9 cm",Cerâmica e vidrado Transferência ou Impressão,Rua Inacio Gilhon n° 41; Avenida Generalíssimo Deodoro n° 1130,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",10.9,10.9,,
Umarizal,,CI  3-1-1 (a e b),Portugal,,14 x 7 cm,Cerâmica e vidrado Transferência ou Impressão,Avenida Conselheiro Furtado n° 456,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,7,-1.4631195,-48.4949718
Umarizal,,FD 6-1-1,Inglaterra,,"15,8 x 7,8 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Rua dos 48 n° 34,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.8,7.8,-1.4568441,-48.493543
Umarizal,,FD 7-1-1,Portugal,,"15,8 x 7,8 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Travessa Gurupá n° 250,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.8,7.8,-1.4596774,-48.5024191
Umarizal,,FD 7-1-2,Portugal,,"15,8 x 7,8 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),"Travessa Dom Pedro n° 704; Rua Santo Antônio n° 202, 206/208 e 210/216; Travessa Gurupá n° 250","Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.8,7.8,,
,,FD 8-1-1,,,"15,2 x 7 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Rua Ó de Almeida n° 648,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.2,7,-1.4526256732307654,-48.49569724778043
,,FD 9-1-1,,,"14,8 x 7,4 cm ",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Travessa Padre Eutiquio n° 1367,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.8,7.4,-1.4693734,-48.4791116
,,FD 10-1-1,Alemanha,,15 x 7 cm,Cerâmica e vidrado Transferência ou Impressão (Decalcomania),"Rua Alcindo Cacela n° 2074; Rua Bernardo Couto n° 785, 791 e 797; Rua Carlos Gomes n° 23, 29 e 37; Avenida Conselheiro Furtado n° 584; Rua Gaspar Viana n° 384; Avenida Nazaré n° 1319; Rua Ó de Almeida n° 760; Rua 15 de Novembro n° 15/25; Rua 28 de Setembro n° 982 e 1163","Revestimento de fachada, assentados por compressão contra argamassa fresca.",15,7,,
,,FD 11-1-1,Alemanha,,"15,2 x 7,6 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Rua Ó de Almeida n° 252 e 879; Travessa Piedade n° 298/302/306; Rua Senador Manoel Barata n° 1186 e 1200; Rua 13 de Maio n° 162/168; Travessa Padre Eutiquio n° 252 esquina da Travessa 13 de Maio,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.2,7.6,-1.4515412,-48.4973671
,,FD 12-1-1,,,"15,4 x 7,1 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Travessa Dom Pedro n° 830 e 836; Avenida Alcindo Cacela n° 2080 e 2092,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.4,7.1,,
,,FD 12-1-2,,,"15,3 x 7,5 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Rua Pedro Prudêncio n° 556; Avenida José bonifácio n° 678; Rua dos Tamoios n° 1644,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.3,7.5,,
,,FD 13-1-1,Provavelmente Alemanha,,"15 x 7,4 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Travessa Campos Sales n° 553; Avenida José Malcher n° 754; Travessa Dr. Moraes n° 98; Travessa Honorio Santos n° 256,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15,7.4,-1.4543075,-48.4978101
,,FD 14-1-1,,,"15,4 x 7,1 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Travessa da Piedade n° 341,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.4,7.1,,
,,FD 14-1-2,,,"15,4 x 7 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Avenida Alcindo Cacela n° 1866,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.4,7,-1.440319,-48.4786833
,,FD 15-1-1,Provavelmente Alemanha,,"15,2 x 7,5 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Travessa 13 de Março n° 1704; Rua Ó de Almeida n° 125; Rua Marquês de Pombal n° 118/122; Rua Tomázia Perdigão n° 188/190; Rua Dr. Assis n° 667; Travessa Padre Eutiquio n° 397/399; Rua 28 de Setembro n° 1155 e 1177,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.2,7.5,,
,,FD 16-1-2,França,,"15,4 x 8,5 cm",Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Avenida Generalíssimo Deodoro n° 254 e 260; Avenida Alcindo Cacela n° 2098 e 2110 e Avenida 16 de Novembro n° 112,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.4,8.5,-1.4457864,-48.4828274
,,FD 17-1-1,,,15 x 7 cm,Cerâmica e vidrado Transferência ou Impressão (Decalcomania),Rua Tomázia Perdigão n° 248,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15,7,-1.4570552,-48.5028955
,,FD 20-1-1,,,"14,5 x 7,5 cm",Cerâmica e vidrado Transferência ou Impressão,Rua Arcipreste Manoel Teodoro n° 820; Rua Ó de Almeida n° 527; Rua Senador Manoel Barata n° 214/216; Rua Gaspar Viana n° 184/190,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.5,7.5,-1.460526851376147,-48.49379657981651
,,FD 21-1-1,,,,Cerâmica e vidrado Transferência ou Impressão,Avenida Nazaré n° 210,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4522372,-48.485104
,,FD 22-1-1,França,,"15,3 x 7,7 cm",Cerâmica e vidrado Transferência ou Impressão,Demolido,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.3,7.7,,
,,CMR 1-1-1,Provavelmente Alemanha,,"14,5 x 14,5 cm","Cerâmica e vidrado 
Meio Relevo",Rua Marques de Pombal n° 84/90,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14.5,14.5,,
,,CMR 2-1-1,Alemanha,,"17,5 x 17,5 cm","Cerâmica e vidrado 
Meio Relevo","Rua Senador Manoel Barata 284/298; Rua Dr.Assis n° 586; Travessa Padre Eutiquio n° 298, 859 e 869","Revestimento de fachada, assentados por compressão contra argamassa fresca.",17.5,17.5,,
,,CMR 3-1-1,,,,"Cerâmica e vidrado 
Meio Relevo",Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
,,CMR 4-1-1,,,,"Cerâmica e vidrado 
Meio Relevo",Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
,,FMR 1-1-1,,,,"Cerâmica e vidrado 
Meio Relevo",Avenida Governador José Malcher n° 459,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4512557,-48.4872807
,,FMR 2-1-1,,,"15,1 x 7,5 cm","Cerâmica e vidrado 
Meio Relevo",Avenida Senador Manoel Barata n° 1343,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.1,7.5,,
,,FMR 3-1-1,,,,"Cerâmica e vidrado 
Meio Relevo",Travessa Quintino Bocaiúva n° 1455,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-0.7490741,-48.0223579
,,FMR 4-1-1,,,,"Cerâmica e vidrado 
Meio Relevo","Rua 15 de Novembro n° 280, esquina da Travessa Campos Sales","Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.1615771,-48.4688459
,,FMR 5-1-1,,,,"Cerâmica e vidrado 
Meio Relevo",Avenida Nazaré n° 744,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.4520714,-48.4791354
,,FMR 6-1-1 (a e b),,,,"Cerâmica e vidrado 
Meio Relevo",Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
,,FMR 7-1-1,Sacavém,Portugal,"15,1 x 7,5 cm","Cerâmica e vidrado 
Meio Relevo",Avenida Gentil Bittencourt n° 1537,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.1,7.5,-1.4546616,-48.4608888
,,FMR 8-1-1,,,,"Cerâmica e vidrado 
Meio Relevo",Mercado de Carne (Rua 15 de Novembro),"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
,,FMR 9-1-1,,,"15 x 7,5 cm ","Cerâmica e vidrado 
Meio Relevo",Demolido,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15,7.5,,
,,FMR 10-1-1,,,"15 x 7,5 cm ","Cerâmica e vidrado 
Meio Relevo",Demolido,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15,7.5,,
,,CR 2-1-1,Porto,Portugal,"11,5 x 13,5 cm","Cerâmica e vidrado 
Relevo",Avenida Generalíssimo Deodoro n° 1410,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",11.5,13.5,-1.4457864,-48.4828274
,,FR 1-1-1,Portugal,,,"Cerâmica e vidrado 
Relevo",Rua 15 de Novembro n° 319,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.1615771,-48.4688459
,,FR 3-1-1,Porto,Portugal,,"Cerâmica e vidrado 
Relevo",Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
,,FR 4-1-1,Porto,Portugal,,"Cerâmica e vidrado 
Relevo",Rua 15 de Novembro n° 319,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,-1.1615771,-48.4688459
,,FR 5-1-1,Porto,Portugal,"14 x 7,6 cm","Cerâmica e vidrado 
Relevo",Travessa Frutuoso Guimarães n° 611,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",14,7.6,-1.4510368,-48.5010789
,,FR 6-1-1,,,15 x 5 cm,"Cerâmica e vidrado 
Relevo",Demolido,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15,5,,
