Bairro,Azulejo-Imagem,Azulejo-Código,Procedência,Unnamed: 3,Dimensão-Formato,"Material, Técnica de Fabricação e Decorativa",Endereço,Uso-Aplicação,Altura,Largura,latitude,longitude
CidadeVelha,,FE 26-1-1,,,"15,2 x 4 cm",Cerâmica e vidrado Estampinha,Travessa Alenquer n° 146,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15.2,4,-1.4604903,-48.5047975
CidadeVelha,,FE 29-1-1,Portugal,,,Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
CidadeVelha,,FE 32-1-1,,,"13,1 x 4 cm",Cerâmica e vidrado Estampinha,"Travessa Frutuoso Guimarães n° 175/179, 123/185, 187/191; Travessa Alenquer n° 168; Travessa Piedade n° 337","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.1,4,-1.4510368,-48.5010789
CidadeVelha,,FE 32-1-1,,,"13,1 x 4 cm",Cerâmica e vidrado Estampinha,"Travessa Frutuoso Guimarães n° 175/179, 123/185, 187/191; Travessa Alenquer n° 168; Travessa Piedade n° 337","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.1,4,-1.4510368,-48.5010789
CidadeVelha,,FE 32-1-1,,,"13,1 x 4 cm",Cerâmica e vidrado Estampinha,"Travessa Frutuoso Guimarães n° 175/179, 123/185, 187/191; Travessa Alenquer n° 168; Travessa Piedade n° 337","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.1,4,-1.4510368,-48.5010789
Campina,,FE 32-1-1,,,"13,1 x 4 cm",Cerâmica e vidrado Estampinha,"Travessa Frutuoso Guimarães n° 175/179, 123/185, 187/191; Travessa Alenquer n° 168; Travessa Piedade n° 337","Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.1,4,-1.4510368,-48.5010789
CidadeVelha,,FE 33-1-1,,,"13,1 x 4 cm",Cerâmica e vidrado Estampinha,Rua Ó de Almeida n° 755 e 757/759,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.1,4,-1.4515412,-48.4973671
Campina,,FE 33-1-1,,,"13,1 x 4 cm",Cerâmica e vidrado Estampinha,Rua Ó de Almeida n° 755 e 757/759,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.1,4,-1.4515412,-48.4973671
Reduto,,FE 33-1-1,,,"13,1 x 4 cm",Cerâmica e vidrado Estampinha,Rua Ó de Almeida n° 755 e 757/759,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.1,4,-1.4515412,-48.4973671
Nazaré,,FE 33-1-1,,,"13,1 x 4 cm",Cerâmica e vidrado Estampinha,Rua Ó de Almeida n° 755 e 757/759,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.1,4,-1.4515412,-48.4973671
CidadeVelha,,FE 33-2-2,Portugal,,"15 x 7,5 cm",Cerâmica e vidrado Estampinha,Travessa Presidente Pernambuco n° 204,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15,7.5,-1.4580157,-48.4918976
Campina,,FE 33-2-2,Portugal,,"15 x 7,5 cm",Cerâmica e vidrado Estampinha,Travessa Presidente Pernambuco n° 204,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15,7.5,-1.4580157,-48.4918976
Reduto,,FE 33-2-2,Portugal,,"15 x 7,5 cm",Cerâmica e vidrado Estampinha,Travessa Presidente Pernambuco n° 204,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15,7.5,-1.4580157,-48.4918976
Nazaré,,FE 33-2-2,Portugal,,"15 x 7,5 cm",Cerâmica e vidrado Estampinha,Travessa Presidente Pernambuco n° 204,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",15,7.5,-1.4580157,-48.4918976
CidadeVelha,,FE 34-1-1,,,"13,1 x 4 cm",Cerâmica e vidrado Estampinha,Rua 28 de Setembro n° 528,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.1,4,-1.450574,-48.4982834
Campina,,FE 34-1-1,,,"13,1 x 4 cm",Cerâmica e vidrado Estampinha,Rua 28 de Setembro n° 528,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.1,4,-1.450574,-48.4982834
Umarizal,,FE 34-1-1,,,"13,1 x 4 cm",Cerâmica e vidrado Estampinha,Rua 28 de Setembro n° 528,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.1,4,-1.450574,-48.4982834
CidadeVelha,,FE 35-1-1,Portugal,,,Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
Nazaré,,FE 35-1-1,Portugal,,,Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
BatistaCampos,,FE 35-1-1,Portugal,,,Cerâmica e vidrado Estampinha,Demolido antes de 1986,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",,,,
CidadeVelha,,FE 36-1-1,Portugal,,"13,3 x 6,4 cm",Cerâmica e vidrado Estampinha,Travessa Gurupá n° 266,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.3,6.4,-1.4596774,-48.5024191
Nazaré,,FE 36-1-1,Portugal,,"13,3 x 6,4 cm",Cerâmica e vidrado Estampinha,Travessa Gurupá n° 266,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.3,6.4,-1.4596774,-48.5024191
Umarizal,,FE 36-1-1,Portugal,,"13,3 x 6,4 cm",Cerâmica e vidrado Estampinha,Travessa Gurupá n° 266,"Revestimento de fachada, assentados por compressão contra argamassa fresca.",13.3,6.4,-1.4596774,-48.5024191
